Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Gavi Paez,es ESP,"MF,FW",Barcelona,La Liga,16,2004,25.7,1115,1270,87.8,17381,3422,643,683,94.1,358,407,88,89,123,72.4,5,3.1,+1.9,18,116,28,4,75,Matches
Mohamed Ali Cho,fr FRA,FW,Angers,Ligue 1,17,2004,20.4,228,322,70.8,3214,599,141,173,81.5,61,84,72.6,11,29,37.9,1,2.5,-1.5,14,12,10,5,16,Matches
Florian Wirtz,de GER,"MF,FW",Leverkusen,Bundesliga,18,2003,20.6,681,910,74.8,12105,3546,329,398,82.7,255,320,79.7,86,159,54.1,10,7.6,+2.4,56,63,48,3,102,Matches
Jude Bellingham,eng ENG,MF,Dortmund,Bundesliga,18,2003,31,1298,1536,84.5,22817,5208,597,675,88.4,541,604,89.6,133,194,68.6,8,4.6,+3.4,34,113,36,2,138,Matches
Jamal Musiala,de GER,"MF,FW",Bayern Munich,Bundesliga,18,2003,16.3,616,739,83.4,9782,2370,328,380,86.3,232,268,86.6,46,57,80.7,5,4.4,+0.6,28,61,30,0,83,Matches
Malo Gusto,fr FRA,DF,Lyon,Ligue 1,18,2003,20.9,1301,1495,87,21284,6072,663,725,91.4,518,571,90.7,97,147,66,4,4.3,-0.3,24,56,23,15,77,Matches
Yeremi Pino,es ESP,"MF,FW",Villarreal,La Liga,18,2002,18.6,432,542,79.7,6406,1487,249,299,83.3,146,172,84.9,19,29,65.5,4,3.2,+0.8,22,9,30,8,47,Matches
Valentino Livramento,eng ENG,DF,Southampton,Premier League,18,2002,24.5,883,1155,76.5,14457,5498,486,546,89,318,427,74.5,70,140,50,1,2.3,-1.3,19,40,24,10,80,Matches
Bukayo Saka,eng ENG,"FW,MF",Arsenal,Premier League,19,2001,33.1,892,1184,75.3,13502,3277,514,604,85.1,293,376,77.9,58,126,46,7,6.9,+0.1,65,36,32,7,73,Matches
Michael Olise,fr FRA,"FW,MF",Crystal Palace,Premier League,19,2001,12.7,464,640,72.5,8506,2476,215,255,84.3,185,243,76.1,58,119,48.7,5,3.4,+1.6,24,29,27,8,65,Matches
Georginio Rutter,fr FRA,"FW,MF",Hoffenheim,Bundesliga,19,2002,17.9,211,330,63.9,3335,829,110,155,71,63,90,70,23,44,52.3,2,3,-1,8,18,16,4,25,Matches
Quentin Merlin,fr FRA,DF,Nantes,Ligue 1,19,2002,21.4,1034,1357,76.2,19715,8580,463,524,88.4,408,495,82.4,153,290,52.8,3,2.7,+0.3,31,104,27,13,126,Matches
João Pedro,br BRA,"FW,MF",Watford,Premier League,19,2001,18.3,397,576,68.9,6697,1733,213,292,72.9,120,170,70.6,47,71,66.2,1,2.6,-1.6,17,41,21,4,56,Matches
Nicolò Rovella,it ITA,MF,Genoa,Serie A,19,2001,16.3,762,957,79.6,15749,3943,305,325,93.8,297,340,87.4,150,269,55.8,3,2.4,+0.6,32,58,10,1,54,Matches
Nuno Mendes,pt POR,DF,Paris S-G,Ligue 1,19,2002,18.4,992,1133,87.6,15986,4075,533,579,92.1,362,408,88.7,78,103,75.7,1,2.3,-1.3,17,56,12,5,49,Matches
Dominik Szoboszlai,hu HUN,"MF,FW",RB Leipzig,Bundesliga,20,2000,17.1,760,985,77.2,12795,3666,392,466,84.1,245,304,80.6,92,155,59.4,8,5.1,+2.9,42,48,37,12,70,Matches
Jeremie Frimpong,nl NED,DF,Leverkusen,Bundesliga,20,2000,22.8,986,1209,81.6,16037,4909,499,553,90.2,402,473,85,69,129,53.5,6,4.1,+1.9,27,37,25,10,62,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,Bundesliga,20,2000,19.3,1123,1335,84.1,18799,5254,538,609,88.3,497,574,86.6,74,112,66.1,3,4,-1,33,52,41,16,102,Matches
Patrick Wimmer,at AUT,"FW,MF",Arminia,Bundesliga,20,2001,22.8,423,753,56.2,7753,3330,187,279,67,164,262,62.6,60,146,41.1,6,3.8,+2.2,40,53,21,4,77,Matches
David Pereira da Costa,pt POR,"MF,FW",Lens,Ligue 1,20,2001,16.3,665,798,83.3,10272,2652,363,402,90.3,237,269,88.1,46,86,53.5,5,3.6,+1.4,40,59,27,5,71,Matches
Anthony Gordon,eng ENG,"MF,FW",Everton,Premier League,20,2001,25.4,503,754,66.7,8074,2353,271,340,79.7,165,220,75,45,132,34.1,2,3.3,-1.3,34,23,22,10,55,Matches
Martinelli,br BRA,"FW,MF",Arsenal,Premier League,20,2001,20.7,453,612,74,7430,1415,228,272,83.8,174,218,79.8,39,83,47,6,3.3,+2.7,34,11,16,5,31,Matches
Sergiño Dest,us USA,"DF,FW",Barcelona,La Liga,20,2000,16.8,880,1000,88,13944,4131,470,497,94.6,358,403,88.8,44,72,61.1,3,2.8,+0.2,19,59,17,4,69,Matches
Takefusa Kubo,jp JPN,"FW,MF",Mallorca,La Liga,20,2001,17.8,363,516,70.3,5885,2113,193,243,79.4,120,169,71,38,67,56.7,0,2.6,-2.6,31,29,26,7,63,Matches
Khéphren Thuram-Ulie,fr FRA,MF,Nice,Ligue 1,20,2001,21.1,990,1141,86.8,18308,3879,391,431,90.7,463,505,91.7,116,158,73.4,2,2.6,-0.6,22,96,18,1,86,Matches
